Unnamed: 0,Job Title,Rating,Company Name,Location,Headquarters,Founded,Type of ownership,Industry,Sector,Revenue,competitor_count,company_age,job_state,min_salary,max_salary,python_yn,r_yn,sql_yn,aws_yn,azure_yn,spark_yn,hadoop_yn,excel_yn,tableau_yn,sas_yn,docker_yn,kubernetes_yn,security_clearance,phd_yn,masters_yn,bachelors_yn,size_num
305,120,3.4,43,147,142,1939,7,27,6,5,1,85,30,74,126,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,501.0
306,165,3.8,46,129,126,1917,7,42,10,5,3,107,23,33,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1001.0
307,133,3.6,308,193,144,2017,7,21,4,5,0,7,29,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5001.0
308,114,3.3,303,190,186,1883,7,21,4,5,0,141,5,37,63,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,501.0
309,173,3.4,233,17,3,2006,3,5,21,13,0,18,33,67,119,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,201.0
310,69,3.0,19,41,92,1887,3,26,6,9,0,137,27,72,117,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1001.0
311,195,4.0,31,163,163,1982,4,3,5,9,0,42,2,116,185,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,5001.0
312,69,3.7,136,149,151,2004,4,27,6,11,3,20,22,78,126,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1001.0
313,184,4.4,251,30,28,2013,4,58,20,8,0,11,17,42,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,201.0
314,3,4.3,212,52,54,1967,3,12,21,5,0,57,19,59,116,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,201.0
316,29,4.0,226,73,118,1849,4,58,20,7,0,175,4,63,105,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,10000.0
317,69,4.0,206,78,105,2012,3,11,5,8,3,12,35,109,177,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,501.0
318,244,3.2,207,138,35,0,3,44,21,12,0,0,29,116,194,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1.0
319,51,4.2,152,196,194,2006,4,12,21,10,2,18,7,48,95,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,51.0
320,69,3.9,309,127,164,2000,3,27,6,6,0,24,2,83,133,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,51.0
322,245,3.7,290,162,125,1781,4,58,20,7,3,243,2,105,198,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,10000.0
323,91,3.6,327,166,163,2006,10,8,14,8,0,18,2,31,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,51.0
324,147,3.7,290,26,125,1781,4,58,20,7,3,243,17,98,182,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10000.0
325,191,2.8,100,74,76,2014,3,24,5,5,0,10,24,55,100,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,201.0
326,111,4.2,78,25,22,2004,3,29,2,13,0,20,10,45,82,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,501.0
328,69,4.0,295,163,139,0,3,24,5,3,0,0,2,83,135,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0
330,69,3.5,34,126,100,1850,4,23,12,2,0,174,32,70,122,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5001.0
331,144,3.7,52,163,71,2017,3,24,5,12,0,7,2,200,250,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,51.0
332,51,3.2,222,0,190,2008,4,31,2,2,3,16,2,70,132,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1001.0
333,195,3.3,230,198,23,1982,3,27,6,6,2,42,24,73,124,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1001.0
334,57,3.9,324,136,133,1948,3,25,7,0,3,76,9,54,101,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1001.0
335,248,3.7,290,26,125,1781,4,58,20,7,3,243,17,117,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10000.0
337,121,3.6,38,98,91,1935,7,21,4,8,0,89,6,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1001.0
339,243,3.4,24,122,75,1948,4,27,6,0,0,76,26,111,183,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1001.0
341,69,3.5,166,167,113,1997,4,24,5,5,3,27,2,68,112,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10000.0
342,109,4.3,211,150,181,1902,4,56,2,11,0,122,24,42,74,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,501.0
344,101,4.1,26,179,176,1961,3,10,11,0,0,63,21,44,78,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,501.0
346,126,2.6,271,141,137,1984,1,2,24,5,0,40,29,81,159,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,501.0
347,69,3.6,273,122,118,1744,4,45,14,2,0,280,26,95,161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1001.0
348,69,3.5,124,80,160,1952,3,56,2,8,0,72,28,75,124,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1001.0
349,69,3.6,20,55,54,1997,3,38,13,2,0,27,19,72,120,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1001.0
350,69,2.3,323,190,186,2003,4,58,20,8,0,21,5,76,126,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,201.0
351,195,3.9,335,28,27,2009,3,15,2,13,0,15,2,114,182,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,51.0
352,88,4.0,206,61,105,2012,3,11,5,8,3,12,35,108,176,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,501.0
353,195,4.1,55,133,129,2007,3,30,24,5,0,17,2,130,208,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1.0
354,262,3.2,222,140,190,2008,4,31,2,2,3,16,1,83,166,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1001.0
355,164,4.7,91,84,7,1996,3,23,12,10,2,28,0,42,76,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,51.0
356,27,4.2,213,162,185,1987,3,5,21,6,0,37,2,37,68,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,51.0
357,51,4.6,21,83,148,1982,3,24,5,13,0,42,33,52,99,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,501.0
358,195,3.7,285,11,197,1863,4,26,6,7,3,161,26,105,173,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,10000.0
362,58,3.7,290,30,125,1781,4,58,20,7,3,243,17,71,134,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,10000.0
364,254,4.4,329,45,38,1929,3,34,21,10,3,95,31,39,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201.0
366,138,3.7,304,199,196,1852,4,27,6,11,0,172,17,114,179,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,5001.0
367,19,3.9,132,176,174,1976,10,58,20,7,0,48,2,88,162,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10000.0
368,236,3.6,180,178,175,1851,3,27,6,7,0,173,17,60,102,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5001.0
369,190,3.0,296,40,41,2015,3,58,20,5,0,9,11,100,166,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,501.0
370,155,3.4,133,190,60,1996,10,24,5,7,3,28,5,55,99,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,10000.0
371,51,4.1,179,78,78,1968,4,40,21,0,0,56,35,67,117,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,5001.0
372,204,3.8,205,30,13,1996,4,58,20,7,0,28,17,92,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10000.0
375,141,4.0,31,163,163,1982,4,3,5,9,0,42,2,116,209,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,5001.0
376,163,3.9,274,161,157,1947,7,40,21,2,3,77,33,38,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001.0
377,64,3.7,195,163,159,0,7,0,0,5,0,0,2,85,90,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,201.0
379,22,4.4,276,85,139,2015,3,11,5,5,0,9,12,62,119,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1.0
380,80,3.8,205,30,13,1996,4,58,20,7,0,28,17,86,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10000.0
381,69,3.8,161,182,177,1996,4,49,15,9,0,28,2,93,149,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,5001.0
382,195,2.2,305,50,52,1993,10,12,21,13,3,31,33,84,136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,501.0
383,139,2.9,163,124,120,0,4,58,20,5,0,0,17,60,123,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,201.0
384,28,4.1,179,146,78,1968,4,40,21,0,0,56,35,52,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5001.0
386,51,3.7,215,93,52,0,3,3,5,5,0,0,15,48,93,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,501.0
387,33,3.8,217,154,150,1965,5,10,11,2,3,59,36,56,97,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1001.0
388,51,3.6,180,178,175,1851,3,27,6,7,0,173,17,65,119,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,5001.0
390,143,4.7,242,160,156,2013,3,58,20,1,0,11,34,108,173,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,51.0
391,151,3.5,111,10,145,1969,3,3,5,0,1,55,35,63,101,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1001.0
392,148,3.3,248,157,153,2014,6,21,4,2,0,10,26,54,115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10000.0
394,189,4.4,251,30,28,2013,4,58,20,8,0,11,17,90,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,201.0
396,69,3.3,257,163,159,2008,3,12,21,5,0,16,2,127,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,201.0
397,130,3.4,254,192,189,1991,4,48,15,13,0,33,7,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,201.0
